"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group","Option.Set","SCC.Level.One","SCC.Level.Two","SCC.Level.Three","SCC.Level.Four","Map.To","Last.Inventory.Year","Created_Date","Revised_Date","Usage.Notes"
"23","10100301","Point","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Wall Fired",NA,NA,"","",""
"24","10100302","Point","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Tangential Fired",NA,NA,"","",""
"25","10100303","Point","Ext Comb /Electric Gen /Lignite /Cyclone Furnace","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Cyclone Furnace",NA,NA,"","",""
"26","10100304","Point","Ext Comb /Electric Gen /Lignite /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Traveling Grate (Overfeed) Stoker",NA,NA,"","",""
"27","10100306","Point","Ext Comb /Electric Gen /Lignite /Spreader Stoker","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Spreader Stoker",NA,NA,"","",""
"28","10100316","Point","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed ** (See 101003-17 & -18)","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed ** (See 101003-17 & -18)",NA,NA,"","",""
"29","10100317","Point","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Bubbling Bed","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Bubbling Bed",NA,NA,"","",""
"30","10100318","Point","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Circulating Bed","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Circulating Bed",NA,NA,"","",""
"31","10100401","Point","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Normal Firing","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Normal Firing",NA,NA,"","",""
"32","10100404","Point","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Tangential Firing","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Tangential Firing",NA,NA,"","",""
"33","10100405","Point","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Normal Firing","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Residual Oil","Grade 5 Oil: Normal Firing",NA,NA,"","",""
"34","10100406","Point","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Tangential Firing","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Residual Oil","Grade 5 Oil: Tangential Firing",NA,NA,"","",""
"35","10100501","Point","Ext Comb /Electric Gen /Distillate Oil /Grades 1 and 2 Oil","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Distillate Oil","Grades 1 and 2 Oil",NA,NA,"","",""
"36","10100504","Point","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Normal Firing","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Distillate Oil","Grade 4 Oil: Normal Firing",NA,NA,"","",""
"37","10100505","Point","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Tangential Firing","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Distillate Oil","Grade 4 Oil: Tangential Firing",NA,NA,"","",""
"38","10100601","Point","Ext Comb /Electric Gen /Natural Gas /Boilers : 100 Million Btu/hr except Tangential","Fuel Comb - Electric Generation - Natural Gas","","","External Combustion Boilers","Electric Generation","Natural Gas","Boilers : 100 Million Btu/hr except Tangential",NA,NA,"","",""
"39","10100602","Point","Ext Comb /Electric Gen /Natural Gas /Boilers < 100 Million Btu/hr except Tangential","Fuel Comb - Electric Generation - Natural Gas","","","External Combustion Boilers","Electric Generation","Natural Gas","Boilers < 100 Million Btu/hr except Tangential",NA,NA,"","",""
"40","10100604","Point","Ext Comb /Electric Gen /Natural Gas /Tangentially Fired Units","Fuel Comb - Electric Generation - Natural Gas","","","External Combustion Boilers","Electric Generation","Natural Gas","Tangentially Fired Units",NA,NA,"","",""
"41","10100701","Point","Ext Comb /Electric Gen /Process Gas /Boilers : 100 Million Btu/hr","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Process Gas","Boilers : 100 Million Btu/hr",NA,NA,"","",""
"42","10100702","Point","Ext Comb /Electric Gen /Process Gas /Boilers < 100 Million Btu/hr","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Process Gas","Boilers < 100 Million Btu/hr",NA,NA,"","",""
"43","10100703","Point","Ext Comb /Electric Gen /Process Gas /Petroleum Refinery Gas","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Process Gas","Petroleum Refinery Gas",NA,NA,"6/6/2003 0:00:00","",""
"44","10100704","Point","Ext Comb /Electric Gen /Process Gas /Blast Furnace Gas","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Process Gas","Blast Furnace Gas",NA,NA,"6/6/2003 0:00:00","",""
"45","10100707","Point","Ext Comb /Electric Gen /Process Gas /Coke Oven Gas","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Process Gas","Coke Oven Gas",NA,NA,"6/6/2003 0:00:00","",""
"46","10100711","Point","Ext Comb /Electric Gen /Process Gas /Landfill Gas","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Process Gas","Landfill Gas",NA,NA,"6/6/2003 0:00:00","",""
"47","10100712","Point","Ext Comb /Electric Gen /Process Gas /Digester Gas","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Process Gas","Digester Gas",NA,NA,"6/6/2003 0:00:00","",""
"48","10100801","Point","Ext Comb /Electric Gen /Petroleum Coke /All Boiler Sizes","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Petroleum Coke","All Boiler Sizes",NA,NA,"","2/2/2004 0:00:00",""
"49","10100818","Point","Ext Comb /Electric Gen /Petroleum Coke /Circulating Fluidized Bed Combustion","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Petroleum Coke","Circulating Fluidized Bed Combustion",NA,NA,"2/2/2004 0:00:00","",""
"50","10100901","Point","Ext Comb /Electric Gen /Bark-fired Boiler","Fuel Comb - Electric Generation - Biomass","","","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Bark-fired Boiler",NA,NA,"","",""
"51","10100902","Point","Ext Comb /Electric Gen /Wood/Bark Fired Boiler","Fuel Comb - Electric Generation - Biomass","","","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Wood/Bark Fired Boiler",NA,NA,"","",""
"52","10100903","Point","Ext Comb /Electric Gen /Wood-fired Boiler - Wet Wood (:=20% moisture)","Fuel Comb - Electric Generation - Biomass","","","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Wood-fired Boiler - Wet Wood (:=20% moisture)",NA,NA,"","9/26/2001 0:00:00",""
"53","10100908","Point","Ext Comb /Electric Gen /Wood-fired Boiler - Dry Wood (<20% moisture)","Fuel Comb - Electric Generation - Biomass","","","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Wood-fired Boiler - Dry Wood (<20% moisture)",NA,NA,"9/26/2001 0:00:00","",""
"54","10100910","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Fuel cell/Dutch oven boilers **","Fuel Comb - Electric Generation - Biomass","","","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Fuel cell/Dutch oven boilers **",NA,NA,"","9/26/2001 0:00:00",""
"55","10100911","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Stoker boilers **","Fuel Comb - Electric Generation - Biomass","","","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Stoker boilers **",NA,NA,"","9/26/2001 0:00:00",""
"56","10100912","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Fluidized bed combustion boilers","Fuel Comb - Electric Generation - Biomass","","","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Fluidized bed combustion boilers",NA,NA,"","",""
"57","10101001","Point","Ext Comb /Electric Gen /LPG /Butane","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquified Petroleum Gas (LPG)","Butane",NA,NA,"","",""
"58","10101002","Point","Ext Comb /Electric Gen /LPG /Propane","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquified Petroleum Gas (LPG)","Propane",NA,NA,"","",""
"59","10101003","Point","Ext Comb /Electric Gen /LPG /Butane/Propane Mixture: Specify Percent Butane in Comments","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquified Petroleum Gas (LPG)","Butane/Propane Mixture: Specify Percent Butane in Comments",NA,NA,"","",""
"60","10101101","Point","Ext Comb /Electric Gen /Bagasse /All Boiler Sizes","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Bagasse","All Boiler Sizes",NA,NA,"","",""
"61","10101201","Point","Ext Comb /Electric Gen /Solid Waste /Specify Waste Material in Comments","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Solid Waste","Specify Waste Material in Comments",NA,NA,"","",""
"62","10101202","Point","Ext Comb /Electric Gen /Solid Waste /Refuse Derived Fuel","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Solid Waste","Refuse Derived Fuel",NA,NA,"","",""
"63","10101204","Point","Ext Comb /Electric Gen /Solid Waste /Tire Derived Fuel : Shredded","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Solid Waste","Tire Derived Fuel : Shredded",NA,NA,"8/9/2002 0:00:00","",""
"64","10101205","Point","Ext Comb /Electric Gen /Solid Waste /Sludge Waste","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Solid Waste","Sludge Waste",NA,NA,"6/6/2003 0:00:00","",""
"65","10101206","Point","Ext Comb /Electric Gen /Solid Waste /Agric Byproducts (rice or peanut hulls, shells, cow manure, etc","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Solid Waste","Agricultural Byproducts (rice or peanut hulls, shells, cow manure, etc",NA,NA,"6/6/2003 0:00:00","",""
"66","10101207","Point","Ext Comb /Electric Gen /Solid Waste /Other Biomass Solids","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Solid Waste","Other Biomass Solids",NA,NA,"6/6/2003 0:00:00","",""
"67","10101208","Point","Ext Comb /Electric Gen /Solid Waste /Paper Pellets","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Solid Waste","Paper Pellets",NA,NA,"6/6/2003 0:00:00","",""
"68","10101301","Point","Ext Comb /Electric Gen /Liquid Waste /Specify Waste Material in Comments","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquid Waste","Specify Waste Material in Comments",NA,NA,"","",""
"69","10101302","Point","Ext Comb /Electric Gen /Liquid Waste /Waste Oil","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquid Waste","Waste Oil",NA,NA,"","",""
"70","10101304","Point","Ext Comb /Electric Gen /Liquid Waste /Black Liquor","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquid Waste","Black Liquor",NA,NA,"6/6/2003 0:00:00","",""
"71","10101305","Point","Ext Comb /Electric Gen /Liquid Waste /Red Liquor","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquid Waste","Red Liquor",NA,NA,"6/6/2003 0:00:00","",""
"72","10101306","Point","Ext Comb /Electric Gen /Liquid Waste /Spent Sulfite Liquor","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquid Waste","Spent Sulfite Liquor",NA,NA,"6/6/2003 0:00:00","",""
"73","10101307","Point","Ext Comb /Electric Gen /Liquid Waste /Tall Oil","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquid Waste","Tall Oil",NA,NA,"6/6/2003 0:00:00","",""
"74","10101308","Point","Ext Comb /Electric Gen /Liquid Waste /Wood/Wood Waste Liquid","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Liquid Waste","Wood/Wood Waste Liquid",NA,NA,"6/6/2003 0:00:00","",""
"75","10101501","Point","Ext Comb /Electric Gen /Geothermal Power Plant: Off-gas Ejectors","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Geothermal Power Plants","Geothermal Power Plant: Off-gas Ejectors",NA,NA,"","",""
"76","10101502","Point","Ext Comb /Electric Gen /Geothermal Power Plant: Cooling Tower Exhaust","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Geothermal Power Plants","Geothermal Power Plant: Cooling Tower Exhaust",NA,NA,"","",""
"77","10101601","Point","Ext Comb /Electric Gen /Methanol /All","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Methanol","All",NA,NA,"6/6/2003 0:00:00","",""
"78","10101801","Point","Ext Comb /Electric Gen /Hydrogen /All","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Hydrogen","All",NA,NA,"6/6/2003 0:00:00","",""
"79","10101901","Point","Ext Comb /Electric Gen /Coal-based Synfuel /All","Fuel Comb - Electric Generation - Other","","","External Combustion Boilers","Electric Generation","Coal-based Synfuel","All",NA,NA,"6/6/2003 0:00:00","",""
"80","10102001","Point","Ext Comb /Electric Gen /Waste Coal /All","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Waste Coal","All",NA,NA,"6/6/2003 0:00:00","",""
"81","10102018","Point","Ext Comb /Electric Gen /Waste Coal /Circulating Fluidized Bed","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Waste Coal","Circulating Fluidized Bed Combustion",NA,NA,"2/2/2004 0:00:00","",""
"82","10102101","Point","Ext Comb /Electric Gen /Other Oil /All","Fuel Comb - Electric Generation - Oil","","","External Combustion Boilers","Electric Generation","Other Oil","All",NA,NA,"6/6/2003 0:00:00","",""
"83","10200101","Point","Ext Comb /Industrial /Anthracite Coal /Pulverized Coal","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Anthracite Coal","Pulverized Coal",NA,NA,"","",""
"84","10200104","Point","Ext Comb /Industrial /Anthracite Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Anthracite Coal","Traveling Grate (Overfeed) Stoker",NA,NA,"","",""
"85","10200107","Point","Ext Comb /Industrial /Anthracite Coal /Hand-fired","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Anthracite Coal","Hand-fired",NA,NA,"","",""
"86","10200117","Point","Ext Comb /Industrial /Anthracite Coal /Fluidized Bed Boiler Burning Anthracite-Culm Fuel","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Anthracite Coal","Fluidized Bed Boiler Burning Anthracite-Culm Fuel",NA,NA,"","",""
"87","10200201","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom",NA,NA,"","",""
"88","10200202","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom",NA,NA,"","",""
"89","10200203","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Cyclone Furnace","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cyclone Furnace",NA,NA,"","",""
"90","10200204","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Spreader Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Spreader Stoker",NA,NA,"","",""
"91","10200205","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Overfeed Stoker",NA,NA,"","",""
"92","10200206","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Underfeed Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Underfeed Stoker",NA,NA,"","",""
"93","10200210","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker **","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Overfeed Stoker **",NA,NA,"","",""
"94","10200212","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom (Tangential)","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Tangential)",NA,NA,"","",""
"95","10200213","Point","Ext Comb /Industrial /Bitum/Subbit Coal /Wet Slurry","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Wet Slurry",NA,NA,"","",""
"96","10200217","Point","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)",NA,NA,"","",""
"97","10200218","Point","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)",NA,NA,"","",""
"98","10200219","Point","Ext Comb /Industrial /Bituminous Coal /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cogeneration (Bituminous Coal)",NA,NA,"","8/31/2000 0:00:00",""
"99","10200221","Point","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Subbituminous Coal)",NA,NA,"","",""
"100","10200222","Point","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Subbituminous Coal)",NA,NA,"","",""
"101","10200223","Point","Ext Comb /Industrial /Subbituminous Coal /Cyclone Furnace","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cyclone Furnace (Subbituminous Coal)",NA,NA,"","",""
"102","10200224","Point","Ext Comb /Industrial /Subbituminous Coal /Spreader Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Spreader Stoker (Subbituminous Coal)",NA,NA,"","",""
"103","10200225","Point","Ext Comb /Industrial /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Subbituminous Coal)",NA,NA,"","",""
"104","10200226","Point","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal)",NA,NA,"","",""
"105","10200229","Point","Ext Comb /Industrial /Subbituminous Coal /Cogeneration","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cogeneration (Subbituminous Coal)",NA,NA,"","",""
"106","10200300","Point","Ext Comb /Industrial /Lignite /Pulverized Coal: Wet Bottom","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Lignite","Pulverized Coal: Wet Bottom",NA,NA,"","",""
"107","10200301","Point","Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","Fuel Comb - Industrial Boilers, ICEs - Coal","","","External Combustion Boilers","Industrial","Lignite","Pulverized Coal: Dry Bottom, Wall Fired",NA,NA,"","",""
